1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
IF-RES-00180039,,Archiving COVID-19 Heritage in Ho Chi Minh City,Covid sign at the pool,Bảng hiệu Covid ở hồ bơi,IF-RES-00180039.jpg,,,"A household is still in quarantine due to having an F0 case in ward 9, district 4.","Bảng hiệu với hướng dẫn để ngăn chặn Covid, theo thông điệp phòng chống của bộ y tế như 5k.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Quảng Cáo;Thông Báo;Chụp Điện Thoại,Biển Hiệu Cổ Động,5k;Bình Thường Mới,,Đường Phố,Lo Lắng,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180040,,Archiving COVID-19 Heritage in Ho Chi Minh City,Return to school,Quay lại trường lớp,IF-RES-00180040.jpg,,,"Signboard with instructions to prevent Covid, according to the Ministry of Health's prevention message like 5k.",Thông báo của trường đại học Khoa Học Xã Hội và Nhân Văn về phòng chống covid.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,5k;Bình Thường Mới,,Trường Đại Học,,
IF-RES-00180041,,Archiving COVID-19 Heritage in Ho Chi Minh City,Medical declaration,Khai báo y tế,IF-RES-00180041.jpg,,,Announcement from the University of Social Sciences and Humanities on covid prevention.,Tờ giấy in A4 có nội dung yêu cầu khai báo y tế ở trước phòng học tại Đại học Tôn Đức Thắng.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,Dụng Cụ Y Tế,,,,,
IF-RES-00180042,,Archiving COVID-19 Heritage in Ho Chi Minh City,Medical declaration,Khai báo y tế,IF-RES-00180042.jpg,,,An A4 paper requiring medical declaration in front of the classroom at Ton Duc Thang University.,Tờ rơi khai báo y tế trên tường của khu vực công cộng.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,Dụng Cụ Y Tế,,,,,
IF-RES-00180043,,Archiving COVID-19 Heritage in Ho Chi Minh City,No gathering in crowds,Không tụ tập đông người,IF-RES-00180043.jpg,,,Health declaration flyers on the walls of public areas.,"Quảng cáo điện tử với tiêu đề ""Không tụ tập đông người để tránh nguy cơ lây nhiễm"". Quảng cáo này ở đường Nguyễn Huệ, một con đường du lịch.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Chụp Điện Thoại;Quảng Cáo,Biển Hiệu Cổ Động,Bình Thường Mới,,Đường Phố;Nơi Công Cộng,Cô Đơn;Lo Lắng;Hoảng Sợ,Giúp Đỡ Cộng Đồng
IF-RES-00180044,,Archiving COVID-19 Heritage in Ho Chi Minh City,Clothing store,Cửa hàng quần áo,IF-RES-00180044.jpg,,,"Electronic advertisement with the title ""Do not gather in large groups to avoid the risk of infection"". This advertisement is on Nguyen Hue street, a tourist road.",Cửa hàng quần áo trưng bày thông điệp 5K của sở y tế sở tại ở tỉnh Tây Ninh.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Quảng Cáo,,,,,,
IF-RES-00180045,,Archiving COVID-19 Heritage in Ho Chi Minh City,Roadside sign entering the university,Bảng hiệu ở bên đường vào đại học,IF-RES-00180045.jpg,,,A clothing store displays the 5K message from the health department of Tay Ninh province.,Bảng hiệu ở bên đường vào đại học với thông tin về cách để ngăn chặn phòng dịch covid. ,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Chụp Điện Thoại,Biển Hiệu Cổ Động,Bình Thường Mới,,Trường Đại Học,,Học
IF-RES-00180046,,Archiving COVID-19 Heritage in Ho Chi Minh City,Covid sign at the office,Biển hiệu Covid tại văn phòng,IF-RES-00180046.jpg,,,A signboard by the road entering the university with information on how to prevent the spread of covid.,"Bảng hiệu với thông tin ""Phòng chống dịch bệnh Covid-19 tại nơi làm việc"" ở trước mặt bãi đậu xe của nơi làm việc. Bảng này có khác loại thông tin ví dụ ""tăng cường vệ sinh cá nhân"" và ""tập thể dục giữa ca làm việc"".",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Chụp Điện Thoại,Biển Hiệu Cổ Động,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Nơi Làm Việc,,Làm Việc
IF-RES-00180047,,Archiving COVID-19 Heritage in Ho Chi Minh City,Texas Chicken,Texas Chicken ,IF-RES-00180047.jpg,,,"Signboard with information ""Preventing Covid-19 at the workplace"" in front of the parking lot of the workplace. This board has various information such as ""enhance personal hygiene"" and ""exercise during work breaks"".",Yêu cầu diệt khuẩn bằng dung dịch trước khi vào cửa hàng Texas Chicken.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Quảng Cáo,,Bình Thường Mới,,,,
IF-RES-00180048,,Archiving COVID-19 Heritage in Ho Chi Minh City,5K message,Thông điệp 5K ,IF-RES-00180048.jpg,,,Request to disinfect with a solution before entering Texas Chicken store.,Thông điệp 5K được trưng dụng tại cửa hàng cùng với dung dịch sát khuẩn.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,5k,,,,
IF-RES-00180049,,Archiving COVID-19 Heritage in Ho Chi Minh City,Neighborhood bulletin board during Covid,Bảng tin khu phố thời Covid,IF-RES-00180049.jpg,,,The 5K message displayed at the store along with disinfectant.,Bảng tin khu phố với các loại thông tin như cách chuẩn bị thức ăn đúng cách và cách để phòng chống dịch.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Thông Báo;Quảng Cáo,Biển Hiệu Cổ Động,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,Phong Tỏa,Đường Phố;Nhà,,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180050,,Archiving COVID-19 Heritage in Ho Chi Minh City,5k sign on the wall,Bảng hiệu về 5k trên tường,IF-RES-00180050.jpg,,,Neighborhood bulletin board with various information such as how to properly prepare food and how to prevent the epidemic.,Bảng hiệu về 5k trên tường. Bảng hiệu này ở trước mặt một hồ bơi cho trẻ em và nhắc nhở mọi người tuân theo các hướng dẫn chăm sóc sức khỏe.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Chụp Điện Thoại;Thông Báo;Quảng Cáo,Biển Hiệu Cổ Động,Việt Nam Chiến Thắng Đại Dịch;5k;Bình Thường Mới,,Đường Phố,Hồi Hộp;Hoảng Sợ;Lo Lắng,
IF-RES-00180051,,Archiving COVID-19 Heritage in Ho Chi Minh City,Rope barrier separating private and public spaces,Dây bẹ ngăn cách không gian riêng và không gian chung,IF-RES-00180051.jpg,,,Signboard about 5k on the wall. This signboard is in front of a children's swimming pool and reminds everyone to follow the health care guidelines.,Cửa hàng bán dụng cụ học tập sử dụng một sợi dây bẹ để ngăn không cho người ngoài đi vào phía trong cửa hàng,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo,Phát Minh,,,,,
IF-RES-00180052,,Archiving COVID-19 Heritage in Ho Chi Minh City,Street sign,Biển báo đường phố ,IF-RES-00180052.jpg,,,The stationery store uses a rope barrier to prevent outsiders from entering inside the store.,"Biển báo đường phố voi thông điệp chính ""không để dịch bệnh covid-19 lây lan ra cộng đồng"".",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Chụp Điện Thoại,,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Đường Phố,,Giúp Đỡ Cộng Đồng
IF-RES-00180053,,Archiving COVID-19 Heritage in Ho Chi Minh City,Space barrier by stringing ropes,Rào chắn không gian bằng cách giăng dây,IF-RES-00180053.jpg,,,"Street sign with the main message ""do not let the covid-19 epidemic spread to the community"".",Một hộ dân sử dụng dây để tách biệt không gian riêng và không gian công cộng của nhà ở trước đường phố.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo,Phát Minh,,,,,
IF-RES-00180054,,Archiving COVID-19 Heritage in Ho Chi Minh City,Elevator call-to-action poster,Poster kêu gọi tại thang máy,IF-RES-00180054.jpg,,,A household uses a rope to separate private space and public space in front of the street.,Poster thân thiện với khán giả nhỏ tuổi được trang dựng ở trước thang máy.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,Biển Hiệu Cổ Động,,,,,
IF-RES-00180055,,Archiving COVID-19 Heritage in Ho Chi Minh City,A house selling masks,Một ngôi nhà bán khẩu trang,IF-RES-00180055.jpg,,,Kid-friendly poster set up in front of the elevator.,Một ngôi nhà bán khẩu trang. Cổng có biển hiệu quảng cáo rằng nhà bán nhiều loại khẩu trang.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Quảng Cáo;Chụp Điện Thoại,Biển Hiệu Cổ Động,Bình Thường Mới,,,,
IF-RES-00180056,,Archiving COVID-19 Heritage in Ho Chi Minh City,Going to school after quarantine,Đi học sau cách ly,IF-RES-00180056.jpg,,,A house selling masks. The gate has a sign advertising that the house sells various types of masks.,"""Đây là bức ảnh tôi được thấy khi ngày đầu tiên tôi trở lại trường học sau khoảng gần 1 năm học online tại nhà. Bức ảnh này minh hoạt quy tắc 5K phòng chống Covid một cách sinh động và nhiều màu sắc, nó bắt mắt hơn nhưng bảng thông báo khác. Bức ảnh này được đặt ngay cổng ra vào của trường học để mọi người dễ dàng thấy nó. Và đi kèm với bức ảnh cô gái thì có một cái máy để sinh viên quét mã QR (mã này được liên kết với an application, it is PC-COVID), và đo thân nhiệt của mọi người trước khi vào trường học.""",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,Trường Đại Học,,
IF-RES-00180057,,Archiving COVID-19 Heritage in Ho Chi Minh City,Epidemic prevention products,Sản phẩm phòng dịch,IF-RES-00180057.jpg,,,"""This is the photo I saw on the first day I returned to school after nearly a year of online learning at home. This photo vividly and colorfully illustrates the 5K Covid prevention rules, making it more eye-catching than other notice boards. This photo is placed at the entrance of the school for everyone to easily see. Along with the photo of the girl, there is a machine for students to scan a QR code (linked to an application, it is PC-COVID), and measure everyone's body temperature before entering the school.""",Sản phẩm phòng dịch được treo giá cho việc buôn bán.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Quảng Cáo;Thông Báo,Dụng Cụ Y Tế,,,Nơi Công Cộng,,
IF-RES-00180058,,Archiving COVID-19 Heritage in Ho Chi Minh City,"Sign ""covid 19 vaccination point""","Bảng hiệu ""điểm tiêm vắc xin phòng covid-19""",IF-RES-00180058.jpg,,,Epidemic prevention products displayed for sale.,"Bảng hiệu cho ""điểm tiêm vắc xin phòng covid-19"" với thông điệp khuyến khích mọi người tiêm vắc-xin",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Tiêm Vaccine,,,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Đường Phố;Điểm Tiêm Vaccine,,HoTroTiemVaccine
IF-RES-00180059,,Archiving COVID-19 Heritage in Ho Chi Minh City,Ministry of Health's 5K message,Thông điệp 5K của bộ y tế,IF-RES-00180059.jpg,,,"Sign for ""covid-19 vaccination point"" with a message encouraging everyone to get vaccinated.",Bản in mẫu nhỏ về thông điệp 5K của bộ y tế.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,Nơi Công Cộng,,
IF-RES-00180060,,Archiving COVID-19 Heritage in Ho Chi Minh City,Signboard in front of the road to the parking lot,Bảng hiệu trước mặt đường vào bãi đậu xe,IF-RES-00180060.jpg,,,A small printed template about the 5K message from the Ministry of Health.,"Bảng hiệu trước mặt đường vào bãi đậu xe thông báo rằng ""ra vào bãi xe đeo khẩu trang"". Bảng này được người quản lý bãi đậu xe tự làm và đưa lên.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Chụp Điện Thoại;Thông Báo;Quảng Cáo,Biển Hiệu Cổ Động,,,Đường Phố;Nhà,,Giúp Đỡ Cộng Đồng
IF-RES-00180061,,Archiving COVID-19 Heritage in Ho Chi Minh City,5K message and request to wear masks at the police station,Thông điệp 5K và đề nghị mang khẩu trang ở trụ sở công an,IF-RES-00180061.jpg,,,"A signboard in front of the road to the parking lot stating ""enter and exit the parking lot wearing a mask"". This sign was made and put up by the parking lot manager.",Poster treo tường kêu gọi người dân thực hiện thông điệp 5K và giữ khoảng cách an toàn ở trụ sơ công an.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,5k,,Nơi Công Cộng,,
IF-RES-00180062,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sign preventing strangers,Biển hiệu ngăn người lạ,IF-RES-00180062.jpg,,,Wall poster calling on people to implement the 5K message and maintain a safe distance at the police station headquarters.,Bảng hiệu thông báo người lạ không được vào hẻm.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Chụp Điện Thoại;Thông Báo,Biển Hiệu Cổ Động,,,Nhà;Đường Phố,Cô Đơn;Lo Lắng,
IF-RES-00180063,,Archiving COVID-19 Heritage in Ho Chi Minh City,Notice to wear masks,Thông báo đeo khẩu trang,IF-RES-00180063.jpg,,,Signboard announcing that strangers are not allowed in the alley.,Thông báo đeo khẩu trang trước khi vào phòng.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,Dụng Cụ Y Tế,5k,,Nơi Công Cộng,,
IF-RES-00180064,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sign in front of Vincom Đồng Khởi,Bảng hiệu trước mắt Vincom Đồng Khởi,IF-RES-00180064.jpg,,,Notice to wear a mask before entering the room.,"Bảng hiệu trước mắt Vincom Đồng Khởi, một trung tâm mua sắm bận rộn, thông báo  không nên tụ tập đông người.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Quảng Cáo;Chụp Điện Thoại,Biển Hiệu Cổ Động,Việt Nam Chiến Thắng Đại Dịch;Bình Thường Mới,Phong Tỏa,Đường Phố,,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180065,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sign preventing strangers from entering the green zone,Biển hiệu ngăn người lạ vào vùng xanh,IF-RES-00180065.jpg,,,"Signboard in front of Vincom Dong Khoi, a busy shopping center, announcing that gathering in large groups should be avoided.","Bảng hiệu có tiêu đề nỗi : ""Chốt Bảo Vệ Vùng Xanh"" (vùng không có dịch) và có đề nghị không cho phép người lạ, shipper đi vào.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Thông Báo;Chụp Điện Thoại;Quảng Cáo,Biển Hiệu Cổ Động;Đồ Bảo Hộ,Bình Thường Mới,Phong Tỏa,Cơ Quan;Nhà,Hoảng Sợ;Lo Lắng;Cô Đơn,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180066,,Archiving COVID-19 Heritage in Ho Chi Minh City,Barrier prohibiting entry to the area,Rào chắn cấm vào khu vực,IF-RES-00180066.jpg,,,"Signboard with the title: ""Green Zone Security Checkpoint"" (area without an outbreak) and a request not to allow strangers or delivery personnel to enter.",Rào chắn dùng để cấm người hoặc xe vào khu vực,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Chụp Điện Thoại,Biển Hiệu Cổ Động;Phát Minh,Bình Thường Mới,Phong Tỏa,Đường Phố,,
IF-RES-00180067,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sanitizer machines sold only during the epidemic,Máy khử khuẩn chỉ bán dịp dịch,IF-RES-00180067.jpg,,,Barriers used to prohibit people or vehicles from entering the area.,Mình phát hiện máy khử khuẩn ở siêu thị gần nhà.,Vietnamese,,Photography,Siêu Thị,Quận 7,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại;Quảng Cáo,Dụng Cụ Y Tế;Phát Minh,,,Đường Phố,Hy Vọng;Biết Ơn,
IF-RES-00180068,,Archiving COVID-19 Heritage in Ho Chi Minh City,Inside the container house used by medical staff,Bên trong nhà container dùng bởi nhân viên y ,IF-RES-00180068.jpg,,,I found a disinfection machine at the supermarket near my house.,"Bên trong 1 ngôi nhà cọntainer từng được dùng bởi nhân viên y tế ở bệnh viện dã chiến huyện Bình Chánh. Trên sàn nhà bề bộn dụng cụ y tế, face mask.
",Vietnamese,,Photography,,"Đường Nguyễn Văn Linh, Huyện Bình Chánh",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Nhiếp Ảnh,Dụng Cụ Y Tế;Đồ Bảo Hộ,,Phong Tỏa,Bệnh Viện Đa Chiến;Khu Cách Ly Tập Trung,Cô Đơn,Cách Ly
IF-RES-00180069,,Archiving COVID-19 Heritage in Ho Chi Minh City,COVID poster against the epidemic,COVID poster chống dịch,IF-RES-00180069.jpg,,,"Posters on the streets with different messages and images about Covid, encouraging everyone to fight the pandemic to protect their families and community.","Posters lên đường phố với thông điệp và hình ảnh khác nhau về covid, khuyến khích mọi người chống đại dịch để bảo vệ gia đình và cộng đồng.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Quảng Cáo;Chụp Điện Thoại,Đồ Bảo Hộ,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Đường Phố,,Giúp Đỡ Cộng Đồng
IF-RES-00180070,,Archiving COVID-19 Heritage in Ho Chi Minh City,Barrier at Bến Thành market,Rào chắn ở chợ Bên Thành,IF-RES-00180070.jpg,,,Barriers at Ben Thanh market used to prohibit people from entering Ben Thanh market during the epidemic.,Rào chắn ở chợ Bên Thành dùng để cấm người vào chợ Bến Thành trong thời dịch,Vietnamese,,Photography,,Chợ Bến Thành,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Chụp Điện Thoại,,,,Đường Phố,,Cách Ly
IF-RES-00180071,,Archiving COVID-19 Heritage in Ho Chi Minh City,5K message,Thông điệp 5K,IF-RES-00180071.jpg,,,The 5K message is printed large in front of public spaces.,Thông điệp 5K được in lớn trước không gian công cộng,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,5k,,Nơi Công Cộng,,
IF-RES-00180072,,Archiving COVID-19 Heritage in Ho Chi Minh City,Information board in front of the construction site,Bảng thông tin trước công trường,IF-RES-00180072.jpg,,,Information board for construction workers.,Bảng thông tin cho công nhân xây dựng ,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Chụp Điện Thoại;Thông Báo,Đồ Bảo Hộ,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Đường Phố;Nhà,,Giúp Đỡ Cộng Đồng
IF-RES-00180073,,Archiving COVID-19 Heritage in Ho Chi Minh City,Store closed,Cửa hàng đóng cửa,IF-RES-00180073.jpg,,,Closed store silently. Many real estate broker phone numbers in front. A common sight after the pandemic.,Cửa hàng đóng cửa im lìm. Nhiều số điện thoại cò Bất Động Sản phía trước. Cảnh tượng thường thấy sau đại dịch.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Thông Báo;Quảng Cáo;Nhiếp Ảnh,Biển Hiệu Cổ Động,,,Đường Phố,Hoảng Sợ,Cách Ly;Thất Nghiệp
IF-RES-00180074,,Archiving COVID-19 Heritage in Ho Chi Minh City,Elevator,Thang máy,IF-RES-00180074.jpg,,,Epidemic prevention message in front of the elevator.,Thông điệp chống dịch trước cửa thang máy.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,Nơi Công Cộng,,
IF-RES-00180075,,Archiving COVID-19 Heritage in Ho Chi Minh City,A road after the epidemic,Một con đường sau dịch,IF-RES-00180075.jpg,,,"Many stores closed, premises left vacant.","Rất nhiều cửa tiệm đóng cửa, mặt bằng để trống",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại,,,,Đường Phố,Lo Lắng;Chán Nản,Thất Nghiệp
IF-RES-00180076,,Archiving COVID-19 Heritage in Ho Chi Minh City,Signboard at Vĩnh Nghiêm pagoda,Bảng hiệu ở chùa Vĩnh Nghiêm,IF-RES-00180076.jpg,,,"Signboard titled ""The importance of wearing masks"" with a series of images demonstrating how wearing masks helps prevent Covid infection.","Bảng hiệu có tiêu đề ""Tầm quan trọng của việc đeo khẩu trang"" và loạt hình ảnh chứng minh cách đeo khẩu trang giúp tránh nhiễm covid ",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Chụp Điện Thoại,Biển Hiệu Cổ Động;Khẩu Trang,Bình Thường Mới,,Nơi Công Cộng,,Giúp Đỡ Cộng Đồng
